chemicalId,geneId,chemicalName,geneSymbol,interactionCount,pubmedCount,organisms,organismIds,geneForms,interactionActions
MESH:C472829,4780,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",NFE2L2,3,3,Homo sapiens,9606,protein,affects^localization|increases^activity|increases^expression
MESH:C031763,2052,"1,3-butadiene",EPHX1,4,3,Homo sapiens,9606,5' UTR|gene,increases^reaction|increases^response to substance
MESH:C038983,6347,"1,3-dimethylthiourea",CCL2,3,3,Homo sapiens,9606,mRNA|protein,decreases^reaction|increases^expression
MESH:C038983,3576,"1,3-dimethylthiourea",CXCL8,4,4,Homo sapiens,9606,mRNA|protein,decreases^reaction|increases^expression|increases^secretion
MESH:C038983,7124,"1,3-dimethylthiourea",TNF,7,4,Homo sapiens,9606,mRNA|protein,decreases^expression|decreases^reaction|increases^expression
MESH:C028474,9970,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",NR1I3,16,9,Homo sapiens,9606,mRNA|protein,affects^binding|affects^cotreatment|affects^reaction|decreases^activity|decreases^expression|decreases^reaction|increases^activity|increases^expression|increases^reaction
MESH:C097240,836,"15-deoxy-delta(12,14)-prostaglandin J2",CASP3,3,3,Homo sapiens,9606,protein,increases^activity|increases^cleavage
MESH:C097240,3576,"15-deoxy-delta(12,14)-prostaglandin J2",CXCL8,5,4,Homo sapiens,9606,mRNA|protein,affects^cotreatment|decreases^degradation|decreases^reaction|increases^expression|increases^reaction
MESH:C097240,3162,"15-deoxy-delta(12,14)-prostaglandin J2",HMOX1,12,3,Homo sapiens,9606,mRNA|protein,decreases^reaction|increases^abundance|increases^activity|increases^expression|increases^reaction
MESH:C097240,3553,"15-deoxy-delta(12,14)-prostaglandin J2",IL1B,15,3,Homo sapiens,9606,mRNA|protein,affects^binding|affects^localization|decreases^abundance|decreases^activity|decreases^reaction|increases^abundance|increases^activity|increases^expression|increases^reaction
MESH:C097240,5468,"15-deoxy-delta(12,14)-prostaglandin J2",PPARG,14,20,Homo sapiens,9606,mRNA|protein,affects^binding|affects^expression|affects^localization|affects^reaction|decreases^activity|decreases^expression|decreases^reaction|decreases^response to substance|increases^activity|increases^expression|increases^localization|increases^reaction
MESH:C097240,5743,"15-deoxy-delta(12,14)-prostaglandin J2",PTGS2,3,3,Homo sapiens,9606,mRNA,decreases^reaction|increases^expression
MESH:C097240,5970,"15-deoxy-delta(12,14)-prostaglandin J2",RELA,4,3,Homo sapiens,9606,protein,affects^binding|affects^localization|decreases^activity|decreases^reaction|increases^activity
MESH:D015655,207,1-Methyl-4-phenylpyridinium,AKT1,7,3,Homo sapiens,9606,mRNA|protein,affects^expression|affects^reaction|decreases^phosphorylation|decreases^reaction|increases^phosphorylation
MESH:D015655,581,1-Methyl-4-phenylpyridinium,BAX,39,26,Homo sapiens,9606,mRNA|protein,affects^expression|affects^reaction|affects^response to substance|decreases^reaction|increases^cleavage|increases^expression|increases^reaction
MESH:D015655,596,1-Methyl-4-phenylpyridinium,BCL2,33,25,Homo sapiens,9606,mRNA|protein,affects^expression|affects^reaction|decreases^expression|decreases^reaction|increases^expression|increases^reaction
MESH:D015655,598,1-Methyl-4-phenylpyridinium,BCL2L1,3,3,Homo sapiens,9606,mRNA|protein,decreases^expression|decreases^reaction|increases^expression
MESH:D015655,627,1-Methyl-4-phenylpyridinium,BDNF,4,3,Homo sapiens,9606,mRNA|protein,decreases^expression|decreases^reaction|increases^expression
MESH:D015655,836,1-Methyl-4-phenylpyridinium,CASP3,76,46,Homo sapiens,9606,mRNA|protein,affects^cleavage|affects^expression|affects^reaction|affects^response to substance|decreases^expression|decreases^reaction|increases^activity|increases^cleavage|increases^expression|increases^reaction
MESH:D015655,2668,1-Methyl-4-phenylpyridinium,GDNF,10,3,Homo sapiens,9606,protein,affects^cotreatment|decreases^expression|decreases^reaction|increases^response to substance
MESH:D015655,2876,1-Methyl-4-phenylpyridinium,GPX1,7,3,Homo sapiens,9606,protein,decreases^expression|decreases^reaction|increases^activity|increases^reaction
MESH:D015655,2932,1-Methyl-4-phenylpyridinium,GSK3B,7,4,Homo sapiens,9606,mRNA|protein,decreases^phosphorylation|decreases^reaction|increases^activity|increases^cleavage|increases^expression|increases^phosphorylation|increases^reaction
MESH:D015655,3091,1-Methyl-4-phenylpyridinium,HIF1A,5,4,Homo sapiens,9606,mRNA|protein,affects^reaction|decreases^expression|decreases^reaction|increases^expression
