geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
2,MESH:D000544,A2M,Alzheimer Disease,1,3,marker/mechanism,0
2,MESH:D008175,A2M,Lung Neoplasms,1,2,marker/mechanism,0
5243,MESH:D001172,ABCB1,"Arthritis, Rheumatoid",1,2,marker/mechanism,0
5243,MESH:D015179,ABCB1,Colorectal Neoplasms,1,2,marker/mechanism,0
5243,MESH:D064420,ABCB1,Drug-Related Side Effects and Adverse Reactions,1,4,marker/mechanism,0
5243,MESH:D004827,ABCB1,Epilepsy,1,2,marker/mechanism,0
5243,MESH:D009422,ABCB1,Nervous System Diseases,1,2,marker/mechanism,0
5243,MESH:D009503,ABCB1,Neutropenia,1,2,marker/mechanism,0
8647,MESH:D002779,ABCB11,Cholestasis,1,3,marker/mechanism,0
5244,MESH:D004195,ABCB4,"Disease Models, Animal",1,2,marker/mechanism,0
5244,MESH:D008103,ABCB4,Liver Cirrhosis,1,2,marker/mechanism,0
1244,MESH:D056486,ABCC2,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
1244,MESH:D002779,ABCC2,Cholestasis,1,3,marker/mechanism,0
1244,MESH:D064420,ABCC2,Drug-Related Side Effects and Adverse Reactions,1,4,marker/mechanism,0
6833,MESH:D003924,ABCC8,"Diabetes Mellitus, Type 2",1,2,marker/mechanism,0
9429,MESH:D015179,ABCG2,Colorectal Neoplasms,1,2,marker/mechanism,0
9429,MESH:D064420,ABCG2,Drug-Related Side Effects and Adverse Reactions,1,2,marker/mechanism,0
9429,MESH:D006073,ABCG2,Gout,1,2,marker/mechanism,0
25,MESH:D015464,ABL1,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,4,marker/mechanism,0
25,MESH:D054198,ABL1,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1,2,marker/mechanism,0
1636,MESH:D000544,ACE,Alzheimer Disease,1,5,marker/mechanism,0
1636,MESH:D002318,ACE,Cardiovascular Diseases,1,3,marker/mechanism,0
1636,MESH:D003371,ACE,Cough,1,2,marker/mechanism,0
1636,MESH:D003928,ACE,Diabetic Nephropathies,1,5,marker/mechanism,0
1636,MESH:D006973,ACE,Hypertension,1,4,marker/mechanism,0
1636,MESH:D007248,ACE,"Infertility, Male",1,2,marker/mechanism,0
1636,MESH:D007676,ACE,"Kidney Failure, Chronic",1,2,marker/mechanism,0
1636,MESH:D055370,ACE,Lung Injury,1,2,marker/mechanism|therapeutic,0
1636,MESH:D009203,ACE,Myocardial Infarction,1,2,marker/mechanism,0
59272,MESH:D000086382,ACE2,COVID-19,1,15,marker/mechanism|therapeutic,0
59272,MESH:D003928,ACE2,Diabetic Nephropathies,1,3,marker/mechanism|therapeutic,0
59272,MESH:D006973,ACE2,Hypertension,1,7,marker/mechanism|therapeutic,0
59272,MESH:D055370,ACE2,Lung Injury,1,4,marker/mechanism|therapeutic,0
59272,MESH:D011658,ACE2,Pulmonary Fibrosis,1,2,marker/mechanism|therapeutic,0
43,MESH:D000544,ACHE,Alzheimer Disease,1,2,marker/mechanism,0
43,MESH:D062025,ACHE,Organophosphate Poisoning,1,3,marker/mechanism|therapeutic,0
43,MESH:D012640,ACHE,Seizures,1,2,marker/mechanism|therapeutic,0
59,MESH:D007674,ACTA2,Kidney Diseases,1,2,marker/mechanism,0
59,MESH:D008103,ACTA2,Liver Cirrhosis,1,4,marker/mechanism,0
59,MESH:D008106,ACTA2,"Liver Cirrhosis, Experimental",1,2,marker/mechanism,0
60,MESH:D006528,ACTB,"Carcinoma, Hepatocellular",1,2,marker/mechanism,0
