global_idx,node_id,node_type,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167
0,DB00001,drug,0.0,0.0,0.07312724,0.0,0.07312724,0.0,0.0,0.0,0.07312724,0.0,0.21938172,0.21938172,0.07312724,0.0,0.0,0.0,0.0,0.0,0.0,0.07312724,0.07312724,0.0,0.0,0.0,0.07312724,0.0,0.14625448,0.0,0.0,0.07312724,0.14625448,0.0,0.07312724,0.0,0.0,0.14625448,0.0,0.0,0.0,0.0,0.0,0.0,0.14625448,0.07312724,0.21938172,0.0,0.21938172,0.07312724,0.0,0.0,0.0,0.07312724,0.0,0.0,0.29250896,0.0,0.0,0.14625448,0.0,0.0,0.0,0.14625448,0.0,0.21938172,0.0,0.07312724,0.14625448,0.07312724,0.0,0.0,0.07312724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07312724,0.07312724,0.07312724,0.0,0.0,0.0,0.14625448,0.0,0.07312724,0.0,0.0,0.0,0.0,0.07312724,0.07312724,0.07312724,0.0,0.07312724,0.29250896,0.07312724,0.21938172,0.0,0.0,0.0,0.07312724,0.0,0.0,0.21938172,0.0,0.0,0.0,0.14625448,0.14625448,0.07312724,0.0,0.0,0.07312724,0.07312724,0.07312724,0.0,0.0,0.0,0.0,0.07312724,0.0,0.21938172,0.0,0.0,0.21938172,0.14625448,1.0,1.0,1.0,0.02,0.12,0.05,0.0,0.0,0.0,0.0,0.3,0.0,0.805,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DB00002,drug,0.16169041,0.0,0.08084521,0.0,0.08084521,0.0,0.0,0.08084521,0.0,0.0,0.08084521,0.24253562,0.08084521,0.0,0.0,0.08084521,0.0,0.0,0.0,0.08084521,0.0,0.0,0.16169041,0.08084521,0.08084521,0.0,0.16169041,0.0,0.0,0.16169041,0.08084521,0.0,0.0,0.0,0.0,0.0,0.0,0.08084521,0.08084521,0.0,0.08084521,0.0,0.16169041,0.08084521,0.08084521,0.0,0.16169041,0.08084521,0.0,0.0,0.0,0.08084521,0.08084521,0.0,0.32338083,0.0,0.0,0.16169041,0.0,0.0,0.0,0.24253562,0.0,0.16169041,0.08084521,0.08084521,0.16169041,0.16169041,0.08084521,0.0,0.08084521,0.08084521,0.0,0.08084521,0.08084521,0.0,0.0,0.0,0.08084521,0.0,0.08084521,0.0,0.0,0.0,0.16169041,0.08084521,0.0,0.0,0.0,0.0,0.0,0.08084521,0.16169041,0.0,0.0,0.0,0.08084521,0.0,0.16169041,0.0,0.0,0.0,0.08084521,0.0,0.0,0.08084521,0.0,0.16169041,0.0,0.16169041,0.16169041,0.0,0.0,0.0,0.08084521,0.08084521,0.08084521,0.08084521,0.08084521,0.08084521,0.0,0.0,0.0,0.16169041,0.0,0.0,0.24253562,0.16169041,1.0,1.0,1.0,0.08,0.1,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.16,0.1125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DB00004,drug,0.0,0.13514748,0.06757374,0.0,0.06757374,0.0,0.0,0.06757374,0.0,0.06757374,0.13514748,0.20272121,0.13514748,0.0,0.0,0.0,0.0,0.0,0.0,0.13514748,0.0,0.0,0.0,0.06757374,0.0,0.0,0.13514748,0.06757374,0.0,0.06757374,0.06757374,0.13514748,0.06757374,0.0,0.06757374,0.0,0.0,0.0,0.0,0.06757374,0.0,0.0,0.13514748,0.13514748,0.13514748,0.06757374,0.13514748,0.06757374,0.0,0.06757374,0.06757374,0.13514748,0.0,0.0,0.3378687,0.06757374,0.13514748,0.13514748,0.06757374,0.0,0.0,0.13514748,0.06757374,0.13514748,0.0,0.06757374,0.13514748,0.13514748,0.06757374,0.0,0.06757374,0.06757374,0.06757374,0.0,0.0,0.06757374,0.0,0.0,0.0,0.0,0.13514748,0.0,0.0,0.0,0.13514748,0.0,0.0,0.06757374,0.0,0.0,0.0,0.06757374,0.20272121,0.0,0.0,0.06757374,0.06757374,0.0,0.27029496,0.06757374,0.06757374,0.13514748,0.06757374,0.06757374,0.0,0.13514748,0.0,0.13514748,0.0,0.20272121,0.06757374,0.06757374,0.06757374,0.13514748,0.06757374,0.13514748,0.0,0.06757374,0.0,0.0,0.0,0.0,0.06757374,0.13514748,0.0,0.0,0.20272121,0.13514748,1.0,1.0,1.0,0.02,0.02,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DB00005,drug,0.07216878,0.07216878,0.14433756,0.0,0.07216878,0.0,0.0,0.0,0.0,0.0,0.14433756,0.21650635,0.07216878,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878,0.0,0.0,0.0,0.0,0.07216878,0.0,0.14433756,0.0,0.0,0.14433756,0.07216878,0.0,0.0,0.14433756,0.0,0.0,0.14433756,0.0,0.07216878,0.0,0.0,0.0,0.14433756,0.07216878,0.07216878,0.0,0.21650635,0.07216878,0.0,0.0,0.07216878,0.14433756,0.07216878,0.0,0.28867513,0.0,0.0,0.14433756,0.0,0.0,0.0,0.21650635,0.0,0.14433756,0.0,0.07216878,0.21650635,0.14433756,0.0,0.0,0.07216878,0.07216878,0.07216878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878,0.07216878,0.0,0.0,0.14433756,0.0,0.0,0.14433756,0.07216878,0.0,0.0,0.07216878,0.14433756,0.0,0.0,0.0,0.07216878,0.0,0.14433756,0.0,0.0,0.0,0.07216878,0.0,0.0,0.14433756,0.07216878,0.0,0.14433756,0.14433756,0.07216878,0.0,0.0,0.0,0.07216878,0.14433756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756,0.0,0.0,0.36084393,0.21650635,1.0,1.0,1.0,0.1,0.14,0.25,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DB00009,drug,0.0,0.0,0.2409658,0.0,0.08032193,0.0,0.16064386,0.0,0.0,0.08032193,0.08032193,0.2409658,0.16064386,0.0,0.0,0.0,0.08032193,0.08032193,0.0,0.08032193,0.0,0.0,0.0,0.0,0.0,0.0,0.16064386,0.0,0.0,0.08032193,0.08032193,0.0,0.08032193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16064386,0.16064386,0.08032193,0.0,0.16064386,0.08032193,0.08032193,0.0,0.0,0.08032193,0.08032193,0.0,0.32128772,0.0,0.0,0.2409658,0.08032193,0.08032193,0.0,0.16064386,0.08032193,0.16064386,0.0,0.08032193,0.16064386,0.08032193,0.08032193,0.0,0.08032193,0.0,0.0,0.0,0.08032193,0.0,0.0,0.0,0.0,0.08032193,0.16064386,0.0,0.0,0.0,0.16064386,0.0,0.0,0.0,0.08032193,0.0,0.08032193,0.08032193,0.08032193,0.08032193,0.0,0.0,0.08032193,0.08032193,0.16064386,0.0,0.08032193,0.0,0.08032193,0.0,0.0,0.08032193,0.08032193,0.0,0.0,0.16064386,0.08032193,0.0,0.0,0.0,0.08032193,0.16064386,0.0,0.0,0.0,0.0,0.08032193,0.08032193,0.0,0.16064386,0.08032193,0.0,0.2409658,0.16064386,1.0,1.0,1.0,0.04,0.14,0.1,0.0,0.0,0.0,0.35,0.0,0.0,0.89,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DB00010,drug,0.0,0.07537784,0.07537784,0.0,0.07537784,0.07537784,0.0,0.0,0.0,0.0,0.22613351,0.22613351,0.07537784,0.0,0.0,0.0,0.0,0.07537784,0.0,0.07537784,0.0,0.0,0.0,0.0,0.07537784,0.0,0.22613351,0.0,0.0,0.07537784,0.15075567,0.07537784,0.0,0.07537784,0.0,0.0,0.07537784,0.0,0.0,0.0,0.0,0.0,0.15075567,0.07537784,0.15075567,0.0,0.15075567,0.15075567,0.07537784,0.0,0.0,0.07537784,0.0,0.0,0.30151135,0.0,0.07537784,0.15075567,0.22613351,0.0,0.0,0.22613351,0.07537784,0.15075567,0.0,0.07537784,0.15075567,0.07537784,0.0,0.0,0.15075567,0.0,0.0,0.0,0.0,0.07537784,0.0,0.0,0.0,0.0,0.07537784,0.0,0.07537784,0.0,0.15075567,0.0,0.0,0.0,0.0,0.07537784,0.0,0.07537784,0.0,0.0,0.0,0.0,0.15075567,0.07537784,0.15075567,0.0,0.15075567,0.0,0.07537784,0.07537784,0.0,0.07537784,0.0,0.0,0.0,0.15075567,0.22613351,0.07537784,0.07537784,0.0,0.07537784,0.07537784,0.0,0.0,0.0,0.0,0.0,0.07537784,0.0,0.15075567,0.0,0.0,0.22613351,0.15075567,1.0,1.0,1.0,0.02,0.02,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DB00017,drug,0.13768567,0.0,0.068842836,0.0,0.13768567,0.0,0.0,0.0,0.0,0.068842836,0.068842836,0.20652851,0.068842836,0.0,0.0,0.13768567,0.0,0.0,0.0,0.13768567,0.0,0.0,0.0,0.0,0.0,0.0,0.13768567,0.0,0.068842836,0.068842836,0.068842836,0.0,0.0,0.068842836,0.0,0.0,0.0,0.0,0.0,0.0,0.068842836,0.0,0.13768567,0.13768567,0.20652851,0.0,0.13768567,0.13768567,0.068842836,0.0,0.0,0.068842836,0.0,0.0,0.3442142,0.0,0.068842836,0.13768567,0.0,0.0,0.068842836,0.13768567,0.068842836,0.13768567,0.0,0.068842836,0.13768567,0.068842836,0.068842836,0.0,0.068842836,0.0,0.13768567,0.068842836,0.0,0.0,0.068842836,0.0,0.0,0.068842836,0.068842836,0.13768567,0.0,0.0,0.13768567,0.068842836,0.0,0.0,0.0,0.0,0.068842836,0.13768567,0.068842836,0.0,0.068842836,0.0,0.27537134,0.13768567,0.20652851,0.0,0.0,0.068842836,0.068842836,0.0,0.0,0.13768567,0.068842836,0.0,0.0,0.13768567,0.13768567,0.0,0.068842836,0.068842836,0.13768567,0.13768567,0.0,0.068842836,0.0,0.068842836,0.068842836,0.0,0.0,0.13768567,0.0,0.0,0.20652851,0.13768567,1.0,1.0,1.0,0.02,0.1,0.05,0.0,0.0,0.0,0.1,0.15,0.0,1.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DB00025,drug,0.050379273,0.0,0.050379273,0.050379273,0.20151709,0.0,0.0,0.0,0.100758545,0.050379273,0.100758545,0.15113781,0.100758545,0.050379273,0.050379273,0.050379273,0.0,0.0,0.050379273,0.050379273,0.050379273,0.0,0.050379273,0.0,0.050379273,0.050379273,0.15113781,0.050379273,0.0,0.20151709,0.3526549,0.0,0.050379273,0.050379273,0.050379273,0.0,0.050379273,0.0,0.050379273,0.050379273,0.100758545,0.050379273,0.100758545,0.100758545,0.15113781,0.050379273,0.15113781,0.100758545,0.15113781,0.100758545,0.100758545,0.050379273,0.050379273,0.0,0.25189635,0.050379273,0.050379273,0.30227563,0.0,0.100758545,0.050379273,0.15113781,0.0,0.100758545,0.0,0.15113781,0.15113781,0.050379273,0.15113781,0.050379273,0.100758545,0.050379273,0.050379273,0.050379273,0.0,0.050379273,0.0,0.100758545,0.0,0.100758545,0.100758545,0.050379273,0.0,0.0,0.050379273,0.050379273,0.050379273,0.0,0.0,0.050379273,0.0,0.050379273,0.050379273,0.050379273,0.050379273,0.0,0.100758545,0.050379273,0.15113781,0.0,0.0,0.050379273,0.100758545,0.0,0.050379273,0.100758545,0.0,0.0,0.0,0.15113781,0.050379273,0.050379273,0.0,0.050379273,0.100758545,0.050379273,0.050379273,0.050379273,0.050379273,0.0,0.050379273,0.050379273,0.15113781,0.100758545,0.050379273,0.050379273,0.100758545,0.100758545,1.0,1.0,1.0,0.06,0.04,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DB00030,drug,0.073521465,0.0,0.14704293,0.0,0.073521465,0.0,0.0,0.0,0.073521465,0.0,0.14704293,0.22056438,0.14704293,0.073521465,0.0,0.0,0.0,0.0,0.073521465,0.073521465,0.0,0.0,0.0,0.0,0.0,0.0,0.14704293,0.073521465,0.0,0.073521465,0.14704293,0.0,0.073521465,0.0,0.0,0.0,0.0,0.0,0.073521465,0.0,0.0,0.073521465,0.14704293,0.14704293,0.14704293,0.0,0.14704293,0.073521465,0.0,0.0,0.0,0.14704293,0.0,0.0,0.29408586,0.0,0.0,0.29408586,0.0,0.0,0.073521465,0.22056438,0.0,0.14704293,0.0,0.073521465,0.22056438,0.073521465,0.0,0.0,0.14704293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073521465,0.073521465,0.073521465,0.0,0.14704293,0.073521465,0.0,0.0,0.0,0.073521465,0.0,0.0,0.073521465,0.0,0.0,0.0,0.0,0.14704293,0.14704293,0.29408586,0.073521465,0.073521465,0.073521465,0.073521465,0.0,0.073521465,0.073521465,0.0,0.0,0.0,0.14704293,0.073521465,0.0,0.0,0.0,0.073521465,0.073521465,0.0,0.0,0.0,0.0,0.0,0.073521465,0.073521465,0.14704293,0.073521465,0.073521465,0.14704293,0.14704293,1.0,1.0,1.0,0.02,0.06,0.05,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DB00036,drug,0.10300524,0.10300524,0.05150262,0.0,0.15450786,0.10300524,0.0,0.0,0.15450786,0.05150262,0.10300524,0.20601048,0.05150262,0.0,0.0,0.0,0.0,0.0,0.0,0.10300524,0.05150262,0.10300524,0.05150262,0.0,0.05150262,0.10300524,0.10300524,0.05150262,0.0,0.10300524,0.20601048,0.05150262,0.0,0.05150262,0.10300524,0.0,0.0,0.0,0.0,0.05150262,0.10300524,0.05150262,0.15450786,0.15450786,0.05150262,0.10300524,0.10300524,0.05150262,0.15450786,0.05150262,0.10300524,0.05150262,0.20601048,0.05150262,0.20601048,0.0,0.05150262,0.30901572,0.0,0.0,0.0,0.10300524,0.0,0.15450786,0.05150262,0.10300524,0.20601048,0.05150262,0.10300524,0.15450786,0.05150262,0.0,0.0,0.10300524,0.0,0.05150262,0.0,0.0,0.05150262,0.05150262,0.15450786,0.05150262,0.0,0.05150262,0.10300524,0.10300524,0.05150262,0.10300524,0.0,0.0,0.0,0.05150262,0.0,0.05150262,0.0,0.0,0.10300524,0.10300524,0.20601048,0.05150262,0.05150262,0.05150262,0.05150262,0.0,0.05150262,0.15450786,0.0,0.0,0.05150262,0.10300524,0.05150262,0.05150262,0.10300524,0.0,0.05150262,0.05150262,0.0,0.05150262,0.10300524,0.05150262,0.05150262,0.0,0.05150262,0.15450786,0.05150262,0.0,0.10300524,0.10300524,1.0,1.0,1.0,0.02,0.08,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.065,0.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
