drugId,diseaseId,drugName,drugSource,diseaseName,diseaseSource,display_relations,indication,contraindication,off_label
DB00001,11057,Lepirudin,DrugBank,cerebrovascular disorder,MONDO,contraindication,0,1,0
DB00001,1126,Lepirudin,DrugBank,gastric ulcer (disease),MONDO,contraindication,0,1,0
DB00001,20671,Lepirudin,DrugBank,obsolete susceptibility to ischemic stroke,MONDO,contraindication,0,1,0
DB00001,2679,Lepirudin,DrugBank,cerebral infarction,MONDO,contraindication,0,1,0
DB00001,5098,Lepirudin,DrugBank,stroke disorder,MONDO,contraindication,0,1,0
DB00001,5240,Lepirudin,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00002,10150_4958_5096_6082_500_514,Cetuximab,DrugBank,squamous cell carcinoma,MONDO_grouped,indication,1,0,0
DB00002,18513,Cetuximab,DrugBank,squamous cell carcinoma of colon,MONDO,indication,1,0,0
DB00002,21063,Cetuximab,DrugBank,malignant colon neoplasm,MONDO,indication,1,0,0
DB00002,5401,Cetuximab,DrugBank,colonic neoplasm,MONDO,indication,1,0,0
DB00002,5575,Cetuximab,DrugBank,colorectal cancer,MONDO,indication,1,0,0
DB00004,15758,Denileukin diftitox,DrugBank,primary cutaneous T-cell lymphoma,MONDO,indication,1,0,0
DB00005,11429_19433,Etanercept,DrugBank,juvenile idiopathic arthritis,MONDO_grouped,indication,1,0,0
DB00005,11849,Etanercept,DrugBank,psoriatic arthritis,MONDO,indication,1,0,0
DB00005,32920,Etanercept,DrugBank,juvenile arthritis due to defect in LACC1,MONDO,indication,1,0,0
DB00005,5095_43377,Etanercept,DrugBank,spondyloarthropathy,MONDO_grouped,indication,1,0,0
DB00005,5306_20655,Etanercept,DrugBank,ankylosing spondylitis,MONDO_grouped,indication,1,0,0
DB00005,7126_8468_24512_13192,Etanercept,DrugBank,"spondyloarthropathy, susceptibility to",MONDO_grouped,indication,1,0,0
DB00005,8383,Etanercept,DrugBank,rheumatoid arthritis,MONDO,indication,1,0,0
DB00009,19050_4781_44348_44349,Alteplase,DrugBank,hemoglobinopathy,MONDO_grouped,indication,1,0,0
DB00009,20671,Alteplase,DrugBank,obsolete susceptibility to ischemic stroke,MONDO,indication,1,0,0
DB00009,5068,Alteplase,DrugBank,myocardial infarction (disease),MONDO,indication,1,0,0
DB00009,5098,Alteplase,DrugBank,stroke disorder,MONDO,indication,1,0,0
DB00009,5279,Alteplase,DrugBank,pulmonary embolism (disease),MONDO,indication,1,0,0
DB00009,6652_3678_1090_3672_3673_3676_3677_3679_6803,Alteplase,DrugBank,myocardial infarction,MONDO_grouped,indication,1,0,0
DB00009,6716,Alteplase,DrugBank,coronary thrombosis,MONDO,indication,1,0,0
DB00010,50,Sermorelin,DrugBank,isolated congenital growth hormone deficiency,MONDO,indication,1,0,0
DB00017,1566,Salmon calcitonin,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00017,1567,Salmon calcitonin,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00017,2319,Salmon calcitonin,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00017,5298,Salmon calcitonin,DrugBank,osteoporosis,MONDO,indication,1,0,0
DB00017,8159,Salmon calcitonin,DrugBank,postmenopausal osteoporosis,MONDO,indication,1,0,0
DB00025,10604_10602_15720_15719_18660_15721_15715_15716_15717,"Antihemophilic factor, human recombinant",DrugBank,hemophilia,MONDO_grouped,indication,1,0,0
DB00025,15787_15788,"Antihemophilic factor, human recombinant",DrugBank,symptomatic form of hemophilia in female carriers,MONDO_grouped,indication,1,0,0
DB00030,12819,Insulin human,DrugBank,diabetic ketoacidosis,MONDO,indication,1,0,0
DB00030,5015,Insulin human,DrugBank,diabetes mellitus (disease),MONDO,indication,1,0,0
DB00030,5148,Insulin human,DrugBank,type 2 diabetes mellitus,MONDO,indication,1,0,0
DB00036,10604_10602_15720_15719_18660_15721_15715_15716_15717,Coagulation factor VIIa Recombinant Human,DrugBank,hemophilia,MONDO_grouped,indication,1,0,0
DB00036,15787_15788,Coagulation factor VIIa Recombinant Human,DrugBank,symptomatic form of hemophilia in female carriers,MONDO_grouped,indication,1,0,0
DB00036,2244,Coagulation factor VIIa Recombinant Human,DrugBank,factor VII deficiency,MONDO,indication,1,0,0
DB00036,9211,Coagulation factor VIIa Recombinant Human,DrugBank,congenital factor VII deficiency,MONDO,indication,1,0,0
DB00046,12819,Insulin lispro,DrugBank,diabetic ketoacidosis,MONDO,indication,1,0,0
DB00046,5015,Insulin lispro,DrugBank,diabetes mellitus (disease),MONDO,indication,1,0,0
DB00046,5148,Insulin lispro,DrugBank,type 2 diabetes mellitus,MONDO,indication,1,0,0
DB00047,12819,Insulin glargine,DrugBank,diabetic ketoacidosis,MONDO,indication,1,0,0
DB00047,5015,Insulin glargine,DrugBank,diabetes mellitus (disease),MONDO,indication,1,0,0
DB00047,5148,Insulin glargine,DrugBank,type 2 diabetes mellitus,MONDO,indication,1,0,0
DB00051,11429_19433,Adalimumab,DrugBank,juvenile idiopathic arthritis,MONDO_grouped,indication,1,0,0
DB00051,11849,Adalimumab,DrugBank,psoriatic arthritis,MONDO,indication,1,0,0
DB00051,32920,Adalimumab,DrugBank,juvenile arthritis due to defect in LACC1,MONDO,indication,1,0,0
DB00051,5011_5535,Adalimumab,DrugBank,Crohn disease,MONDO_grouped,indication,1,0,0
DB00051,5095_43377,Adalimumab,DrugBank,spondyloarthropathy,MONDO_grouped,indication,1,0,0
DB00051,5101,Adalimumab,DrugBank,ulcerative colitis (disease),MONDO,indication,1,0,0
DB00051,5306_20655,Adalimumab,DrugBank,ankylosing spondylitis,MONDO_grouped,indication,1,0,0
DB00051,5532,Adalimumab,DrugBank,Crohn's colitis,MONDO,indication,1,0,0
DB00051,7126_8468_24512_13192,Adalimumab,DrugBank,"spondyloarthropathy, susceptibility to",MONDO_grouped,indication,1,0,0
DB00051,8383,Adalimumab,DrugBank,rheumatoid arthritis,MONDO,indication,1,0,0
DB00051,9960_12845_33643_11471_12831_12875_12941_13153_8617_54849_5265_12832_12610_12840_11087_11521_11661_11699_11700_11701_12040_12829_12837_12838_12841_12852_12886_12887_12940_12973_13012,Adalimumab,DrugBank,inflammatory bowel disease,MONDO_grouped,indication,1,0,0
DB00056,15165,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,MONDO,indication,1,0,0
DB00056,15166,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with t(8;21)(q22;q22) translocation,MONDO,indication,1,0,0
DB00056,15667,Gemtuzumab ozogamicin,DrugBank,unclassified acute myeloid leukemia,MONDO,indication,1,0,0
DB00056,17893,Gemtuzumab ozogamicin,DrugBank,inherited acute myeloid leukemia,MONDO,indication,1,0,0
DB00056,17894,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with CEBPA somatic mutations,MONDO,indication,1,0,0
DB00056,18256,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with t(8;16)(p11;p13) translocation,MONDO,indication,1,0,0
DB00056,18433,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with t(6;9)(p23;q34),MONDO,indication,1,0,0
DB00056,18434,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with t(9;11)(p22;q23),MONDO,indication,1,0,0
DB00056,18435,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),MONDO,indication,1,0,0
DB00056,18437,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with NPM1 somatic mutations,MONDO,indication,1,0,0
