drugId,targetId,drugName,drugSource,targetName,targetSource,display_relations,target,enzyme,transporter,carrier
DB00001,2147,Lepirudin,DrugBank,F2,NCBI,target,1,0,0,0
DB00002,1956,Cetuximab,DrugBank,EGFR,NCBI,target,1,0,0,0
DB00002,2209,Cetuximab,DrugBank,FCGR1A,NCBI,target,1,0,0,0
DB00002,2212,Cetuximab,DrugBank,FCGR2A,NCBI,target,1,0,0,0
DB00002,713,Cetuximab,DrugBank,C1QB,NCBI,target,1,0,0,0
DB00004,3561,Denileukin diftitox,DrugBank,IL2RG,NCBI,target,1,0,0,0
DB00005,2209,Etanercept,DrugBank,FCGR1A,NCBI,target,1,0,0,0
DB00005,2212,Etanercept,DrugBank,FCGR2A,NCBI,target,1,0,0,0
DB00005,4049,Etanercept,DrugBank,LTA,NCBI,target,1,0,0,0
DB00005,7124,Etanercept,DrugBank,TNF,NCBI,target,1,0,0,0
DB00005,713,Etanercept,DrugBank,C1QB,NCBI,target,1,0,0,0
DB00009,2243,Alteplase,DrugBank,FGA,NCBI,target,1,0,0,0
DB00009,5340,Alteplase,DrugBank,PLG,NCBI,target,1,0,0,0
DB00010,2692,Sermorelin,DrugBank,GHRHR,NCBI,target,1,0,0,0
DB00017,799,Salmon calcitonin,DrugBank,CALCR,NCBI,target,1,0,0,0
DB00025,2158,"Antihemophilic factor, human recombinant",DrugBank,F9,NCBI,target,1,0,0,0
DB00025,3309,"Antihemophilic factor, human recombinant",DrugBank,HSPA5,NCBI,target,1,0,0,0
DB00025,811,"Antihemophilic factor, human recombinant",DrugBank,CALR,NCBI,target,1,0,0,0
DB00030,3643,Insulin human,DrugBank,INSR,NCBI,target,1,0,0,0
DB00036,2155,Coagulation factor VIIa Recombinant Human,DrugBank,F7,NCBI,target,1,0,0,0
DB00046,3643,Insulin lispro,DrugBank,INSR,NCBI,target,1,0,0,0
DB00047,3643,Insulin glargine,DrugBank,INSR,NCBI,target,1,0,0,0
DB00051,7124,Adalimumab,DrugBank,TNF,NCBI,target,1,0,0,0
DB00056,2209,Gemtuzumab ozogamicin,DrugBank,FCGR1A,NCBI,target,1,0,0,0
DB00056,945,Gemtuzumab ozogamicin,DrugBank,CD33,NCBI,target,1,0,0,0
DB00063,3690,Eptifibatide,DrugBank,ITGB3,NCBI,target,1,0,0,0
DB00065,7124,Infliximab,DrugBank,TNF,NCBI,target,1,0,0,0
DB00099,1441,Filgrastim,DrugBank,CSF3R,NCBI,target,1,0,0,0
DB00099,1991,Filgrastim,DrugBank,ELANE,NCBI,target,1,0,0,0
DB00100,2147,Coagulation Factor IX (Recombinant),DrugBank,F2,NCBI,target,1,0,0,0
DB00100,2155,Coagulation Factor IX (Recombinant),DrugBank,F7,NCBI,target,1,0,0,0
DB00100,2157,Coagulation Factor IX (Recombinant),DrugBank,F8,NCBI,target,1,0,0,0
