targetId,diseaseId,targetName,targetSource,diseaseName,diseaseSource,association_count
10019,12819,SH2B3,NCBI,diabetic ketoacidosis,MONDO,1
10019,15165,SH2B3,NCBI,acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,MONDO,1
10019,15166,SH2B3,NCBI,acute myeloid leukemia with t(8;21)(q22;q22) translocation,MONDO,1
10019,15667,SH2B3,NCBI,unclassified acute myeloid leukemia,MONDO,1
10019,17893,SH2B3,NCBI,inherited acute myeloid leukemia,MONDO,1
10019,17894,SH2B3,NCBI,acute myeloid leukemia with CEBPA somatic mutations,MONDO,1
10019,18256,SH2B3,NCBI,acute myeloid leukemia with t(8;16)(p11;p13) translocation,MONDO,1
10019,18433,SH2B3,NCBI,acute myeloid leukemia with t(6;9)(p23;q34),MONDO,1
10019,18434,SH2B3,NCBI,acute myeloid leukemia with t(9;11)(p22;q23),MONDO,1
10019,18435,SH2B3,NCBI,acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),MONDO,1
10019,18437,SH2B3,NCBI,acute myeloid leukemia with NPM1 somatic mutations,MONDO,1
10019,18874_4643,SH2B3,NCBI,myeloid leukemia,MONDO_grouped,1
10019,19050_4781_44348_44349,SH2B3,NCBI,hemoglobinopathy,MONDO_grouped,1
10019,19457,SH2B3,NCBI,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO,1
10019,19725,SH2B3,NCBI,pediatric systemic lupus erythematosus,MONDO,1
10019,20320,SH2B3,NCBI,acute myeloblastic leukemia with maturation,MONDO,1
10019,21661,SH2B3,NCBI,coronary atherosclerosis,MONDO,1
10019,2277,SH2B3,NCBI,arteriosclerosis disorder,MONDO,1
10019,4948_872_4963_20511_4947_814,SH2B3,NCBI,acute lymphoblastic/lymphocytic leukemia,MONDO_grouped,1
10019,4967,SH2B3,NCBI,acute lymphoblastic leukemia (disease),MONDO,1
10019,5010,SH2B3,NCBI,coronary artery disease,MONDO,1
10019,5068,SH2B3,NCBI,myocardial infarction (disease),MONDO,1
10019,5098,SH2B3,NCBI,stroke disorder,MONDO,1
10019,5223,SH2B3,NCBI,acute myeloid leukemia with minimal differentiation,MONDO,1
10019,5224,SH2B3,NCBI,acute myeloblastic leukemia without maturation,MONDO,1
10019,5311,SH2B3,NCBI,atherosclerosis,MONDO,1
10019,5571,SH2B3,NCBI,polycythemia (disease),MONDO,1
10019,5615,SH2B3,NCBI,plasmacytoma,MONDO,1
10019,6652_3678_1090_3672_3673_3676_3677_3679_6803,SH2B3,NCBI,myocardial infarction,MONDO_grouped,1
10019,6716,SH2B3,NCBI,coronary thrombosis,MONDO,1
10019,7915,SH2B3,NCBI,systemic lupus erythematosus (disease),MONDO,1
10019,9692,SH2B3,NCBI,primary myelofibrosis,MONDO,1
10019,9891,SH2B3,NCBI,acquired polycythemia vera,MONDO,1
10280,1386,SIGMAR1,NCBI,visual epilepsy,MONDO,1
10280,5027,SIGMAR1,NCBI,epilepsy,MONDO,1
10280,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,SIGMAR1,NCBI,schizophrenia,MONDO_grouped,1
10280,5109,SIGMAR1,NCBI,HIV infectious disease,MONDO,1
10280,5384,SIGMAR1,NCBI,partial epilepsy,MONDO,1
10280,5531,SIGMAR1,NCBI,morphine dependence,MONDO,1
10280,6891,SIGMAR1,NCBI,partial motor epilepsy,MONDO,1
10280,7079_2491_4938_2046_5367_5689_4456_5186,SIGMAR1,NCBI,substance abuse/dependence,MONDO_grouped,1
10381,16093,TUBB3,NCBI,borderline epithelial tumor of ovary,MONDO,1
10381,16096,TUBB3,NCBI,malignant non-dysgerminomatous germ cell tumor of ovary,MONDO,1
10381,16248,TUBB3,NCBI,familial ovarian cancer,MONDO,1
10381,16249,TUBB3,NCBI,hereditary site-specific ovarian cancer syndrome,MONDO,1
10381,16266,TUBB3,NCBI,squamous cell carcinoma of the corpus uteri,MONDO,1
10381,16267,TUBB3,NCBI,undifferentiated carcinoma of the corpus uteri,MONDO,1
10381,16419,TUBB3,NCBI,hereditary breast carcinoma,MONDO,1
10381,17327,TUBB3,NCBI,primary non-gestational choriocarcinoma of ovary,MONDO,1
10381,18171,TUBB3,NCBI,malignant germ cell tumor of ovary,MONDO,1
10381,18172,TUBB3,NCBI,malignant sex cord stromal tumor of ovary,MONDO,1
10381,18369,TUBB3,NCBI,immature ovarian teratoma,MONDO,1
10381,20538,TUBB3,NCBI,malignant dysgerminomatous germ cell tumor of ovary,MONDO,1
10381,20541,TUBB3,NCBI,maligant granulosa cell tumor of ovary,MONDO,1
10381,20542,TUBB3,NCBI,malignant Sertoli-Leydig cell tumor of ovary,MONDO,1
10381,20543,TUBB3,NCBI,"theca steroid-producing cell malignant tumor of ovary, not further specified",MONDO,1
10381,21100,TUBB3,NCBI,breast neoplasm,MONDO,1
10381,2752,TUBB3,NCBI,ovarian adenocarcinoma,MONDO,1
10381,3582,TUBB3,NCBI,hereditary breast ovarian cancer syndrome,MONDO,1
