drugId,phenotypeId,drugName,phenotypeName,ncrnaCount,pmidCount,effects,levels,fda
DrugBank:DB00188,PHENO:Breast Cancer,Bortezomib,Breast Cancer,1,1,sensitive,High,approved
DrugBank:DB00188,PHENO:Multiple Myeloma,Bortezomib,Multiple Myeloma,33,2,resistant|sensitive,High,approved
DrugBank:DB00305,PHENO:Colorectal Cancer,Mitomycin C,Colorectal Cancer,1,1,sensitive,High,approved
DrugBank:DB00305,PHENO:Hepatocellular Carcinoma,Mitomycin C,Hepatocellular Carcinoma,27,2,resistant|sensitive,High,approved
DrugBank:DB00317,PHENO:Lung Adenocarcinoma,Gefitinib,Lung Adenocarcinoma,43,2,resistant|sensitive,High,approved
DrugBank:DB00317,PHENO:Non-Small Cell Lung Cancer,Gefitinib,Non-Small Cell Lung Cancer,318,11,resistant|sensitive,High,approved
DrugBank:DB00361,PHENO:Breast Cancer,Vinorelbine,Breast Cancer,12,1,resistant,High,approved
DrugBank:DB00361,PHENO:Colorectal Cancer,Vinorelbine,Colorectal Cancer,55,1,resistant|sensitive,High,approved
DrugBank:DB00361,PHENO:Non-Small Cell Lung Cancer,Vinorelbine,Non-Small Cell Lung Cancer,31,2,resistant|sensitive,High,approved
DrugBank:DB00398,PHENO:Hepatocellular Carcinoma,Sorafenib,Hepatocellular Carcinoma,224,11,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:Bladder Cancer,Gemcitabine,Bladder Cancer,41,1,resistant,High,approved
DrugBank:DB00441,PHENO:Cholangiocarcinoma,Gemcitabine,Cholangiocarcinoma,1214,3,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:Malignant Lymphoma,Gemcitabine,Malignant Lymphoma,1,1,resistant,High,approved
DrugBank:DB00441,PHENO:Non-Small Cell Lung Cancer,Gemcitabine,Non-Small Cell Lung Cancer,10,1,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:Ovarian Cancer,Gemcitabine,Ovarian Cancer,4,1,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:Pancreatic Cancer,Gemcitabine,Pancreatic Cancer,1257,10,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:Pancreatic Ductal Adenocarcinoma,Gemcitabine,Pancreatic Ductal Adenocarcinoma,17,1,resistant|sensitive,High,approved
DrugBank:DB00441,PHENO:pancreatic cancer,Gemcitabine,pancreatic cancer,19,1,resistant|sensitive,High,approved
DrugBank:DB00445,PHENO:Breast Cancer,Epirubicin,Breast Cancer,21,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Bladder Cancer,Cisplatin,Bladder Cancer,20,2,sensitive,High,approved
DrugBank:DB00515,PHENO:Brca2-Mutated Ovarian Cancer,Cisplatin,Brca2-Mutated Ovarian Cancer,1,1,resistant,High,approved
DrugBank:DB00515,PHENO:Breast Cancer,Cisplatin,Breast Cancer,36,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Cervical Cancer,Cisplatin,Cervical Cancer,100,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Colorectal Cancer,Cisplatin,Colorectal Cancer,22,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Ehrlich Ascites Tumor,Cisplatin,Ehrlich Ascites Tumor,13,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Epithelial Ovarian Cancer,Cisplatin,Epithelial Ovarian Cancer,55,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Esophageal Adenocarcinoma,Cisplatin,Esophageal Adenocarcinoma,17,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Esophageal Cancer,Cisplatin,Esophageal Cancer,39,3,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Esophageal Squamous Cell Carcinoma,Cisplatin,Esophageal Squamous Cell Carcinoma,34,3,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Gallbladder Cancer,Cisplatin,Gallbladder Cancer,55,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Gastric Cancer,Cisplatin,Gastric Cancer,271,9,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Germ Cell Tumor,Cisplatin,Germ Cell Tumor,68,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Hepatocellular Carcinoma,Cisplatin,Hepatocellular Carcinoma,29,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Hypopharyngeal Cancer,Cisplatin,Hypopharyngeal Cancer,4520,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Hypopharyngeal Squamous Cell Carcinoma,Cisplatin,Hypopharyngeal Squamous Cell Carcinoma,308,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Laryngeal Cancer,Cisplatin,Laryngeal Cancer,7,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Lung Adenocarcinoma,Cisplatin,Lung Adenocarcinoma,128,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Lung Squamous Cell Carcinoma,Cisplatin,Lung Squamous Cell Carcinoma,1,1,resistant,High,approved
DrugBank:DB00515,PHENO:Non-Small Cell Lung Cancer,Cisplatin,Non-Small Cell Lung Cancer,221,8,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Osteosarcoma,Cisplatin,Osteosarcoma,47,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Ovarian Cancer,Cisplatin,Ovarian Cancer,411,25,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Pancreatic Cancer,Cisplatin,Pancreatic Cancer,56,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Renal Cell Cancer,Cisplatin,Renal Cell Cancer,6,1,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Small Cell Lung Cancer,Cisplatin,Small Cell Lung Cancer,242,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:Tongue Squamous Cell Carcinoma,Cisplatin,Tongue Squamous Cell Carcinoma,40,2,resistant|sensitive,High,approved
DrugBank:DB00515,PHENO:lung squamous cell carcinoma,Cisplatin,lung squamous cell carcinoma,32,1,resistant|sensitive,High,approved
DrugBank:DB00526,PHENO:Colon Cancer,Oxaliplatin,Colon Cancer,1,1,sensitive,High,approved
