ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
ENSEMBL:ENSG00000002079,DrugBank:DB00441,MYH16,lncRNA,Gemcitabine,1,1,sensitive,Microarray,High,approved,,
ENSEMBL:ENSG00000002079,DrugBank:DB00515,lnc-ARPC1A-5,lncRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000005206,DrugBank:DB00317,SPPL2B,lncRNA,Gefitinib,1,1,sensitive,Microarray,High,approved,,
ENSEMBL:ENSG00000010704,DrugBank:DB00441,HLA-H,lncRNA,Gemcitabine,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000010704,DrugBank:DB00853,HLA-H,lncRNA,Temozolomide,1,1,sensitive,RNA-seq,High,approved,,
ENSEMBL:ENSG00000012171,DrugBank:DB00317,SEMA3B,lncRNA,Gefitinib,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000021355,DrugBank:DB00853,SERPINB1,lncRNA,Temozolomide,1,1,sensitive,Microarray,High,approved,,
ENSEMBL:ENSG00000038382,DrugBank:DB00317,TRIO,lncRNA,Gefitinib,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000049192,DrugBank:DB00317,ADAMTS6,lncRNA,Gefitinib,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000060971,DrugBank:DB00515,ENST00000480865,lncRNA,Cisplatin,1,1,sensitive,RNA-seq,High,approved,,
ENSEMBL:ENSG00000065665,DrugBank:DB00515,NR_024577,lncRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
ENSEMBL:ENSG00000070540,DrugBank:DB00317,WIPI1,lncRNA,Gefitinib,1,1,resistant,Microarray,High,approved,,
ENSEMBL:ENSG00000073756,DrugBank:DB00515,ENST00000490885,lncRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
ENSEMBL:ENSG00000076043,DrugBank:DB00515,ENST00000544507,lncRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
ENSEMBL:ENSG00000078319,DrugBank:DB00853,PMS2P1,lncRNA,Temozolomide,1,1,sensitive,RNA-seq,High,approved,,
ENSEMBL:ENSG00000078319,DrugBank:DB00997,uc010lgv.1,lncRNA,Doxorubicin,1,1,resistant,Microarray,High,approved,,
