ncrnaId,phenotypeId,ncrnaName,ncrnaType,phenotypeName,drugCount,pmidCount,effects,levels,targetGenes,pathways
ENSEMBL:ENSG00000002079,PHENO:Hypopharyngeal Cancer,lnc-ARPC1A-5,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000002079,PHENO:Pancreatic Cancer,MYH16,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000005206,PHENO:Non-Small Cell Lung Cancer,SPPL2B,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000010704,PHENO:Glioblastoma,HLA-H,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000010704,PHENO:Pancreatic Cancer,HLA-H,lncRNA,Pancreatic Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000012171,PHENO:Non-Small Cell Lung Cancer,SEMA3B,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000021355,PHENO:Glioblastoma,SERPINB1,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000038382,PHENO:Non-Small Cell Lung Cancer,TRIO,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000049192,PHENO:Non-Small Cell Lung Cancer,ADAMTS6,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000060971,PHENO:Cervical Cancer,ENST00000480865,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000065665,PHENO:Hypopharyngeal Cancer,NR_024577,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000070540,PHENO:Non-Small Cell Lung Cancer,WIPI1,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000073756,PHENO:Cervical Cancer,ENST00000490885,lncRNA,Cervical Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000076043,PHENO:Cervical Cancer,ENST00000544507,lncRNA,Cervical Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000078319,PHENO:Glioblastoma,PMS2P1,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000078319,PHENO:osteosarcoma,uc010lgv.1,lncRNA,osteosarcoma,1,1,resistant,High,,
ENSEMBL:ENSG00000080709,PHENO:Hypopharyngeal Cancer,lnc-KCNN2-2,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000080854,PHENO:Hypopharyngeal Squamous Cell Carcinoma,MIR4697HG,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000080854,PHENO:lung squamous cell carcinoma,LOC283174,lncRNA,lung squamous cell carcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000088340,PHENO:Hypopharyngeal Cancer,NR_119376,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000088826,PHENO:Cervical Cancer,ENST00000484515,lncRNA,Cervical Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000091986,PHENO:Glioblastoma,LINC01279,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000091986,PHENO:Non-Small Cell Lung Cancer,LINC01279,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000092847,PHENO:Hypopharyngeal Squamous Cell Carcinoma,AGO1,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000095383,PHENO:Non-Small Cell Lung Cancer,TBC1D2,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000099869,PHENO:Lung Adenocarcinoma,IGF2-AS,lncRNA,Lung Adenocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000101391,PHENO:Cervical Cancer,ENST00000461356,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000102309,PHENO:Hypopharyngeal Cancer,NR_033187,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000103227,PHENO:Glioblastoma,LMF1,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000103472,PHENO:Pancreatic Cancer,RRN3P2,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000103978,PHENO:Cervical Cancer,ENST00000562946,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000104375,PHENO:Hypopharyngeal Squamous Cell Carcinoma,ENSG00000254267,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000104756,PHENO:Hypopharyngeal Squamous Cell Carcinoma,KCTD9,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000105568,PHENO:Cervical Cancer,ENST00000468280,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000105655,PHENO:Non-Small Cell Lung Cancer,ISYNA1,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000105889,PHENO:Gastric Cancer,AC002480.2,lncRNA,Gastric Cancer,2,1,resistant,High,,
ENSEMBL:ENSG00000106031,PHENO:Hepatocellular Carcinoma,HOXA13,lncRNA,Hepatocellular Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000108370,PHENO:Hypopharyngeal Cancer,NR_110801,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000111275,PHENO:Pancreatic Cancer,ENST00000551450,lncRNA,Pancreatic Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000111817,PHENO:Non-Small Cell Lung Cancer,DSE,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000112541,PHENO:Glioblastoma,LINC00473,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000112541,PHENO:Ovarian Cancer,LINC00473,lncRNA,Ovarian Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000113387,PHENO:Cervical Cancer,ENST00000504789,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000114374,PHENO:Pancreatic Cancer,TTTY15,lncRNA,Pancreatic Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000114554,PHENO:Cervical Cancer,ENST00000503234,lncRNA,Cervical Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000116883,PHENO:Cholangiocarcinoma,RP11-268J15.5,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000117318,PHENO:Cervical Cancer,ENST00000463312,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000121716,PHENO:Glioblastoma,PILRB,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000122548,PHENO:Cholangiocarcinoma,KIAA0087,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000122694,PHENO:Glioblastoma,GLIPR2,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000122694,PHENO:Non-Small Cell Lung Cancer,GLIPR2,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000123358,PHENO:Cervical Cancer,ENST00000550557,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000123607,PHENO:Hypopharyngeal Cancer,NR_045375,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000124224,PHENO:Gastric Cancer,PPP4R1L,lncRNA,Gastric Cancer,2,1,resistant,High,,
ENSEMBL:ENSG00000124224,PHENO:Glioblastoma,PPP4R1L,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000124813,PHENO:Glioblastoma,RUNX2,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000124813,PHENO:Hypopharyngeal Cancer,lnc-ENPP4-3,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000125124,PHENO:Hypopharyngeal Cancer,ENST00000618027,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000125462,PHENO:Hypopharyngeal Cancer,ENST00000441085,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000125804,PHENO:Glioma,FAM182A,lncRNA,Glioma,1,1,resistant,High,,
ENSEMBL:ENSG00000127124,PHENO:Glioblastoma,HIVEP3,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000127241,PHENO:Glioma,MASP1,lncRNA,Glioma,1,1,resistant,High,,
ENSEMBL:ENSG00000127399,PHENO:Cervical Cancer,ENST00000471872,lncRNA,Cervical Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000127533,PHENO:Glioblastoma,PAR4,lncRNA,Glioblastoma,1,1,resistant,High,,
