drugId,diseaseId,max_phase,labels,statuses
CHEMBL1000,EFO_0005751,4.0,eye allergy,
CHEMBL1000,MONDO_0005271,4.0,allergic disease,Completed
CHEMBL100116,HP_0012531,4.0,Pain,Completed
CHEMBL1009,MONDO_0005180,4.0,Parkinson disease,"Active, not recruiting | Enrolling by invitation | Terminated | Withdrawn | Completed | Recruiting"
CHEMBL1014,EFO_0000373,4.0,congestive heart failure,
CHEMBL1014,EFO_0000400,4.0,diabetes mellitus,
CHEMBL1014,EFO_0000537,4.0,hypertension,Unknown status | Completed
CHEMBL1014,EFO_0000612,4.0,myocardial infarction,
CHEMBL1014,EFO_0000712,4.0,stroke,
CHEMBL1014,EFO_0003144,4.0,heart failure,Completed
CHEMBL1014,EFO_0003913,4.0,angina pectoris,Unknown status
CHEMBL1017,EFO_0000319,4.0,cardiovascular disease,Completed
CHEMBL1017,EFO_0000400,4.0,diabetes mellitus,
CHEMBL1017,EFO_0000537,4.0,hypertension,Completed | Terminated | Unknown status
CHEMBL1017,EFO_0000612,4.0,myocardial infarction,
CHEMBL1017,EFO_0000712,4.0,stroke,Completed
CHEMBL1025,MONDO_0005041,4.0,glaucoma,
CHEMBL1029,MONDO_0018150,4.0,Gaucher disease,
CHEMBL103,MONDO_0001836,4.0,amenorrhea,Completed
CHEMBL103,MP_0001914,4.0,hemorrhage,Completed
CHEMBL1042,EFO_0003882,4.0,osteoporosis,Recruiting | Completed | Unknown status
CHEMBL1042,EFO_0004272,4.0,anemia (phenotype),
CHEMBL1046,MP_0001914,4.0,hemorrhage,Completed | Unknown status
CHEMBL1051,EFO_0004190,4.0,open-angle glaucoma,Completed | Recruiting | Unknown status | Withdrawn
CHEMBL1051,EFO_1001069,4.0,ocular hypertension,Completed
CHEMBL1051,MONDO_0005041,4.0,glaucoma,Unknown status | Completed | Recruiting | Terminated
CHEMBL1054,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1055,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1055,EFO_0000373,4.0,congestive heart failure,
CHEMBL1055,EFO_0000537,4.0,hypertension,Withdrawn | Completed | Unknown status
CHEMBL1055,EFO_0000668,4.0,preeclampsia,
CHEMBL1055,EFO_0003144,4.0,heart failure,Recruiting
CHEMBL1055,EFO_0003884,4.0,chronic kidney disease,Suspended | Unknown status
CHEMBL1055,EFO_0003913,4.0,angina pectoris,
CHEMBL1055,EFO_0004255,4.0,nephrotic syndrome,
CHEMBL1055,MONDO_0002462,4.0,glomerulonephritis,
CHEMBL1064,EFO_0000319,4.0,cardiovascular disease,Completed
CHEMBL1064,EFO_0000612,4.0,myocardial infarction,Completed
CHEMBL1064,EFO_0000712,4.0,stroke,Completed
CHEMBL1064,EFO_0001645,4.0,coronary artery disease,Completed | Unknown status
CHEMBL1064,EFO_0004911,4.0,familial hypercholesterolemia,
CHEMBL1064,HP_0003119,4.0,Abnormal circulating lipid concentration,
CHEMBL1064,HP_0003124,4.0,Hypercholesterolemia,Completed
CHEMBL1064,MONDO_0021187,4.0,hyperlipidemia,Completed
CHEMBL1069,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1069,EFO_0000373,4.0,congestive heart failure,Recruiting | Terminated
CHEMBL1069,EFO_0000400,4.0,diabetes mellitus,Completed | Unknown status
CHEMBL1069,EFO_0000537,4.0,hypertension,"Terminated | Active, not recruiting | Completed"
CHEMBL1069,EFO_0000612,4.0,myocardial infarction,Completed | Not yet recruiting
CHEMBL1069,EFO_0000712,4.0,stroke,Withdrawn
CHEMBL1069,EFO_0003144,4.0,heart failure,"Withdrawn | Active, not recruiting | Completed | Recruiting | Terminated"
CHEMBL1070,EFO_0000685,4.0,rheumatoid arthritis,
CHEMBL1070,EFO_0005755,4.0,rheumatic disease,
CHEMBL1070,MONDO_0005178,4.0,osteoarthritis,
CHEMBL1072,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1072,EFO_0000373,4.0,congestive heart failure,Recruiting
CHEMBL1072,EFO_0003086,4.0,kidney disease,
CHEMBL1072,EFO_0003144,4.0,heart failure,Completed | Recruiting
CHEMBL1072,EFO_0004255,4.0,nephrotic syndrome,
CHEMBL1079742,EFO_0003060,4.0,non-small cell lung carcinoma,
