drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL1000,ENSG00000196639,4.0,Completed,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL100116,ENSG00000147955,4.0,Completed,Sigma opioid receptor modulator,Sigma non-opioid intracellular receptor 1
CHEMBL1009,ENSG00000151577,4.0,"Active, not recruiting | Enrolling by invitation | Terminated | Withdrawn | Completed | Recruiting",Dopamine D3 receptor agonist,D(3) dopamine receptor
CHEMBL1014,ENSG00000144891,4.0,Unknown status | Completed,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1017,ENSG00000144891,4.0,Completed | Terminated | Unknown status,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1025,ENSG00000087085,4.0,,Acetylcholinesterase inhibitor,Acetylcholinesterase
CHEMBL1029,ENSG00000148154,4.0,,Ceramide glucosyltransferase inhibitor,Ceramide glucosyltransferase
CHEMBL103,ENSG00000082175,4.0,Completed,Progesterone receptor agonist,Progesterone receptor
CHEMBL1042,ENSG00000111424,4.0,Recruiting | Completed | Unknown status,Vitamin D receptor agonist,Vitamin D3 receptor
CHEMBL1046,ENSG00000104368,4.0,Completed | Unknown status,Tissue-type plasminogen activator inhibitor,Tissue-type plasminogen activator
CHEMBL1046,ENSG00000122194,4.0,Unknown status | Completed,Plasminogen inhibitor,Plasminogen
CHEMBL1051,ENSG00000122420,4.0,Completed | Recruiting | Unknown status | Withdrawn | Terminated,Prostanoid FP receptor agonist,Prostaglandin F2-alpha receptor
CHEMBL1054,ENSG00000070915,4.0,,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Solute carrier family 12 member 3
CHEMBL1055,ENSG00000070915,4.0,Withdrawn | Suspended | Unknown status | Completed | Recruiting,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Solute carrier family 12 member 3
CHEMBL1064,ENSG00000113161,4.0,Completed | Unknown status,HMG-CoA reductase inhibitor,3-hydroxy-3-methylglutaryl-coenzyme A reductase
CHEMBL1069,ENSG00000144891,4.0,"Completed | Terminated | Withdrawn | Recruiting | Unknown status | Active, not recruiting | Not yet recruiting",Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1070,ENSG00000073756,4.0,,Cyclooxygenase-2 inhibitor,Prostaglandin G/H synthase 2
CHEMBL1072,ENSG00000074803,4.0,Recruiting | Completed,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Solute carrier family 12 member 1
CHEMBL1079742,ENSG00000146648,4.0,,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor
CHEMBL1082407,ENSG00000169083,4.0,"Terminated | Unknown status | Completed | Active, not recruiting",Androgen Receptor antagonist,Androgen receptor
CHEMBL1082607,ENSG00000169252,4.0,Completed | Recruiting | Terminated,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1083385,ENSG00000169313,4.0,Completed | Terminated,Purinergic receptor P2Y12 antagonist,P2Y purinoceptor 12
CHEMBL1083993,ENSG00000055118,4.0,,HERG blocker,Voltage-gated inwardly rectifying potassium channel KCNH2
CHEMBL1084172,ENSG00000169252,4.0,Withdrawn,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1085,ENSG00000149295,4.0,,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL1086,ENSG00000183873,4.0,,Sodium channel protein type V alpha subunit blocker,Sodium channel protein type 5 subunit alpha
CHEMBL1086,ENSG00000185313,4.0,,Sodium channel protein type X alpha subunit blocker,Sodium channel protein type 10 subunit alpha
CHEMBL10878,ENSG00000134640,4.0,Completed | Unknown status,Melatonin receptor agonist,Melatonin receptor
CHEMBL10878,ENSG00000147246,4.0,Completed | Unknown status,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL10878,ENSG00000168412,4.0,Unknown status | Completed,Melatonin receptor agonist,Melatonin receptor
CHEMBL1088,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1088,ENSG00000149295,4.0,,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL1089318,ENSG00000093010,4.0,"Completed | Active, not recruiting | Recruiting",Catechol O-methyltransferase inhibitor,Catechol O-methyltransferase
CHEMBL109,ENSG00000112294,4.0,"Completed | Recruiting | Active, not recruiting | Unknown status | Terminated | Withdrawn",Succinate semialdehyde dehydrogenase inhibitor,"Succinate-semialdehyde dehydrogenase, mitochondrial"
CHEMBL1091,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1094636,ENSG00000129484,4.0,,Poly [ADP-ribose] polymerase 2 inhibitor,Poly [ADP-ribose] polymerase 2
CHEMBL1094636,ENSG00000143799,4.0,,Poly [ADP-ribose] polymerase-1 inhibitor,Poly [ADP-ribose] polymerase 1
CHEMBL1094966,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1095097,ENSG00000151623,4.0,Completed | Recruiting | Withdrawn,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
CHEMBL1095607,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1095777,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1096146,ENSG00000170989,4.0,,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor 1
CHEMBL1096885,ENSG00000131747,4.0,,DNA topoisomerase II alpha inhibitor,DNA topoisomerase 2-alpha
