targetId,diseaseId,max_phase,labels,max_score,evidence_count_sum,datatype_ids,datasource_ids
ENSG00000000938,EFO_0000220,4.0,acute lymphoblastic leukemia,0.903724422098834,43,known_drug | literature,chembl | europepmc
ENSG00000000938,EFO_0000339,4.0,chronic myelogenous leukemia,0.9580573757688562,73,literature | known_drug | rna_expression,europepmc | chembl | expression_atlas
ENSG00000000938,EFO_0004289,4.0,lymphoid leukemia,0.7449206373023215,9,known_drug,chembl
ENSG00000001626,HP_0002014,4.0,Diarrhea,0.8710803981444514,22,literature | animal_model | known_drug,europepmc | impc | chembl
ENSG00000001626,MONDO_0009061,4.0,cystic fibrosis,0.998891987634554,12702,literature | animal_model | genetic_association | affected_pathway | genetic_literature | known_drug,europepmc | impc | orphanet | reactome | uniprot_literature | uniprot_variants | eva | chembl | gene_burden | genomics_england
ENSG00000004468,EFO_0000616,4.0,neoplasm,0.986726374355515,992,literature | known_drug,europepmc | chembl
ENSG00000004468,EFO_0001378,4.0,multiple myeloma,0.970193648532521,1518,literature | known_drug,europepmc | chembl
ENSG00000004779,EFO_0000400,4.0,diabetes mellitus,0.9897662699492094,113,literature | known_drug,europepmc | chembl
ENSG00000004779,MONDO_0005148,4.0,type 2 diabetes mellitus,0.9984097546156244,683,known_drug | literature,chembl | europepmc
ENSG00000004948,EFO_0003854,4.0,postmenopausal osteoporosis,0.8648274818127246,10,known_drug | animal_model | literature,chembl | impc | europepmc
ENSG00000007312,EFO_0000403,4.0,diffuse large B-cell lymphoma,0.880303170001723,327,somatic_mutation | known_drug | literature,intogen | eva_somatic | cancer_gene_census | chembl | europepmc
ENSG00000007312,EFO_0000616,4.0,neoplasm,0.7652717538190655,122,literature | known_drug,europepmc | chembl
ENSG00000007314,EFO_0000275,4.0,atrial fibrillation,0.9327406066763676,38,literature | known_drug,europepmc | chembl
ENSG00000007314,EFO_0000474,4.0,epilepsy,0.9985443525345344,515,known_drug | literature,chembl | europepmc
ENSG00000007314,EFO_0003913,4.0,angina pectoris,0.9514707558232331,14,known_drug,chembl
ENSG00000007314,EFO_0004269,4.0,cardiac arrhythmia,0.970381264653934,30,literature | known_drug,europepmc | chembl
ENSG00000007314,HP_0001250,4.0,Seizure,0.9931422188174572,103,genetic_association | literature | known_drug,eva | europepmc | chembl
ENSG00000007314,HP_0004308,4.0,Ventricular arrhythmia,0.9190679877429972,8,known_drug | literature,chembl | europepmc
ENSG00000007314,HP_0012531,4.0,Pain,0.999047266489698,960,known_drug | genetic_association,chembl | eva
ENSG00000007314,MONDO_0005277,4.0,migraine disorder,0.9814552547366356,63,known_drug,chembl
ENSG00000007314,MONDO_0016532,4.0,Lennox-Gastaut syndrome,0.9221828385126004,10,literature | known_drug,europepmc | chembl
ENSG00000010310,EFO_0001073,4.0,obesity,0.7809911979606109,20,genetic_association | known_drug,gwas_credible_sets | chembl
ENSG00000010310,MONDO_0005148,4.0,type 2 diabetes mellitus,0.9521827072911432,284,known_drug | literature | animal_model | genetic_association,chembl | europepmc | impc | gwas_credible_sets
ENSG00000010322,EFO_0000537,4.0,hypertension,0.8071970034954302,4,known_drug | literature,chembl | europepmc
ENSG00000010610,EFO_0000180,4.0,HIV-1 infection,0.968451702349799,3077,known_drug | literature,chembl | europepmc
ENSG00000010610,EFO_0000763,4.0,viral disease,0.8550917537999599,2251,known_drug | literature,chembl | europepmc
ENSG00000010610,EFO_0000764,4.0,HIV infection,0.9709883397775112,9341,literature | known_drug | affected_pathway,europepmc | chembl | reactome
ENSG00000010671,EFO_0000095,4.0,chronic lymphocytic leukemia,0.9643308668710944,1879,affected_pathway | somatic_mutation | known_drug | literature,cancer_biomarkers | cancer_gene_census | chembl | europepmc
ENSG00000010671,EFO_0000616,4.0,neoplasm,0.8530533386513358,571,literature | known_drug,europepmc | chembl
ENSG00000010671,EFO_0004192,4.0,alopecia areata,0.7419795384849834,6,known_drug,chembl
ENSG00000010671,EFO_0009441,4.0,Waldenstrom macroglobulinemia,0.8771024321442356,191,known_drug | literature,chembl | europepmc
ENSG00000010671,EFO_1001469,4.0,Mantle cell lymphoma,0.9717447867220596,794,affected_pathway | somatic_mutation | known_drug | literature,cancer_biomarkers | cancer_gene_census | chembl | europepmc
ENSG00000010810,EFO_0000220,4.0,acute lymphoblastic leukemia,0.903724422098834,48,known_drug | literature,chembl | europepmc
ENSG00000010810,EFO_0000339,4.0,chronic myelogenous leukemia,0.9580573757688562,89,literature | known_drug,europepmc | chembl
ENSG00000010810,EFO_0000616,4.0,neoplasm,0.8424113832966987,363,literature | known_drug,europepmc | chembl
ENSG00000010810,EFO_0004289,4.0,lymphoid leukemia,0.7449206373023215,9,known_drug,chembl
ENSG00000011677,EFO_0000474,4.0,epilepsy,0.995092013329404,161,known_drug | literature,chembl | europepmc
ENSG00000011677,HP_0001250,4.0,Seizure,0.9693551982152095,37,known_drug,chembl
ENSG00000011677,MONDO_0005277,4.0,migraine disorder,0.9790506912711584,49,literature | known_drug,europepmc | chembl
ENSG00000011677,MONDO_0016532,4.0,Lennox-Gastaut syndrome,0.9102798724714009,7,known_drug,chembl
ENSG00000012124,EFO_0000220,4.0,acute lymphoblastic leukemia,0.9052391904970988,595,known_drug | literature,chembl | europepmc
ENSG00000012124,EFO_0000616,4.0,neoplasm,0.8258196240568437,295,literature | known_drug,europepmc | chembl
